"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1774.828","938.752","942.419","671.061","366.7","392.369","407.037","586.72","788.405","777.404","817.741","935.085","920.417","982.756","920.417","924.084","1034.094","953.42","1008.425","942.419","898.415","854.411","858.078","821.408","828.742","","","","","",
"American Samoa","ASM","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","36.67","47.671","102.676","84.341","91.675","150.347","348.365","564.718","990.09","1257.781","462.042","425.372","374.034","330.03","429.039","707.731","403.37","465.709","491.378","407.037","143.013","106.343","293.36","84.341","146.68","249.356","249.356","275.025","286.026","286.026","282.359","267.691","264.024","271.358","267.691","275.025","293.36","308.028","319.029","330.03","344.698","348.365","370.367","403.37","421.705","429.039","443.707","469.376","480.377","509.713","524.381","513.38","524.381","524.381","528.048","546.383","557.384","","","","","",
"Australia","AUS","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","27832.53","29137.982","31910.234","35687.244","39977.634","47946.025","47032.942","51884.383","56006.091","61579.931","68261.205","72012.546","71374.488","82104.13","76772.312","77993.423","73512.349","77960.42","81546.746","79753.583","82291.147","85745.461","85133.072","76951.995","81473.406","71968.542","74007.394","76412.946","77271.024","81502.742","82800.86","78572.809","80751.007","87600.963","87692.638","86728.217","93849.531","89434.463","87193.926","89148.437","90985.604","80600.66","89944.176","95532.684","95129.314","99416.037","98150.922","99038.336","107076.4","107461.435","114806.436","119415.855","122514.47","123412.885","120196.926","117178.985","118909.809","","","","","",
"Austria","AUT","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","8423.099","9559.869","11034.003","12346.789","14583.659","14767.009","16479.498","18415.674","20931.236","22401.703","24799.921","27795.86","30293.087","33549.383","29361.669","28892.293","31928.569","31433.524","31891.899","34579.81","26094.372","30014.395","28675.94","26439.07","25514.986","25346.304","27810.528","31037.488","27429.16","27836.197","27645.513","30098.736","29060.975","30183.077","29644.028","30040.064","32430.948","31642.543","33989.423","32005.576","31400.521","33663.06","34587.144","37102.706","37132.042","37729.763","36600.327","35793.587","34535.806","32617.965","33795.072","32042.246","31008.152","31646.21","30480.104","30905.476","31312.513","","","","","",
"Azerbaijan","AZE","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31250.174","30843.137","25052.944","19900.809","19383.762","18566.021","20967.906","16791.193","17979.301","11287.026","11294.36","12706.155","12742.825","14649.665","12988.514","11466.709","10615.965","9248.174","8701.791","10271.267","11650.059","11921.417","11499.712","11609.722","12244.113","","","","","",
"Burundi","BDI","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","44.004","47.671","47.671","36.67","47.671","47.671","55.005","73.34","62.339","73.34","69.673","69.673","88.008","77.007","84.341","99.009","102.676","106.343","143.013","150.347","143.013","187.017","198.018","216.353","216.353","223.687","212.686","249.356","194.351","223.687","198.018","212.686","216.353","220.02","227.354","234.688","234.688","249.356","267.691","198.018","201.685","154.014","190.684","146.68","172.349","179.683","179.683","176.016","293.36","396.036","326.363","337.364","330.03","348.365","429.039","","","","","",
"Belgium","BEL","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","20784.556","23307.452","27058.793","32027.578","35599.236","40513.016","43879.322","46724.914","54784.98","59603.418","65382.61","66805.406","71524.835","73692.032","63827.802","61488.256","65037.912","64150.498","68873.594","67916.507","63967.148","55613.722","53189.835","45808.164","43706.973","44183.683","50421.25","48683.092","49075.461","47436.312","45635.815","51187.653","53585.871","51873.382","53263.175","52544.443","56779.828","56336.121","56717.489","54253.265","51847.713","54121.253","49918.871","54755.644","53358.517","52335.424","50655.938","48529.078","50831.954","50494.59","54979.331","50600.933","47318.968","48881.11","49662.181","52683.789","50446.919","","","","","",
"Benin","BEN","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","161.348","128.345","135.679","121.011","143.013","150.347","113.677","143.013","154.014","201.685","282.359","293.36","388.702","381.368","407.037","443.707","260.357","297.027","363.033","366.7","374.034","282.359","333.697","304.361","352.032","594.054","535.382","388.702","454.708","506.046","557.384","660.06","715.065","880.08","1034.094","1037.761","1085.432","1118.435","1114.768","1463.133","1474.134","1690.487","1954.511","2229.536","2383.55","2269.873","3127.951","3722.005","3740.34","4004.364","4440.737","4330.727","4110.707","4334.394","4495.742","5060.46","5258.478","","","","","",
"Burkina Faso","BFA","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","44.004","91.675","84.341","88.008","110.01","102.676","102.676","102.676","102.676","121.011","143.013","150.347","161.348","168.682","205.352","220.02","209.019","249.356","348.365","407.037","432.706","557.384","575.719","594.054","465.709","476.71","480.377","517.047","553.717","821.408","583.053","627.057","630.724","627.057","645.392","612.389","693.063","788.405","843.41","843.41","990.09","971.755","990.09","1063.43","1089.099","1111.101","1345.789","1580.477","1554.808","1613.48","1811.498","1906.84","2368.882","2640.24","2757.584","3197.624","3267.297","","","","","",
